"id","province_name","province_code","created_at"
"1","Manicaland","MA","2026-04-08 09:08:31"
"2","Mashonaland Central","MC","2026-04-08 09:08:31"
"3","Mashonaland East","ME","2026-04-08 09:08:31"
"4","Mashonaland West","MW","2026-04-08 09:08:31"
"5","Masvingo","MV","2026-04-08 09:08:31"
"6","Matabeleland North","MN","2026-04-08 09:08:31"
"7","Matabeleland South","MS","2026-04-08 09:08:31"
"8","Midlands","MI","2026-04-08 09:08:31"
"9","Harare","HA","2026-04-08 09:08:31"
"10","Bulawayo","BU","2026-04-08 09:08:31"
